acl 2.2.53-1
libldap 2.4.46-2
liblqr 0.4.2-2
libmad 0.15.1b-8
libmagick 7.0.8.14-1
libmm-glib 1.8.2-1
libmms 0.6.4-2
libmnl 1.0.4-1
libmodplug 0.8.9.0-1
libmpc 1.1.0-1
libmpdclient 2.16-1
libmtp 1.1.15-1
libndp 1.7-1
libnewt 0.52.20-2
libnfs 3.0.0-2
libnftnl 1.1.1-1
libnghttp2 1.34.0-1
libnl 3.4.0-1
libnm 1.14.4-1
libnm-glib 1.14.4-1
libnm-gtk 1.8.18-2
libnma 1.8.18-2
libnotify 0.7.7-1
libnsl 1.2.0-1
libogg 1.3.3-3
libomxil-bellagio 0.9.3-2
libpcap 1.9.0-1
libpciaccess 0.14-1
libpgm 5.2.122-3
libpipeline 1.5.0-1
libpng 1.6.35-1
libproxy 0.4.15-8
libpsl 0.20.2-1
libpulse 12.2-2
libraqm 0.5.0-1
libraw1394 2.1.2-1
librsvg 2:2.44.8-1
libsamplerate 0.1.9-1
libsasl 2.1.26-13
libseccomp 2.3.3-1
libsecret 0.18.6-1
libshout 1:2.4.1-3
libsigc++ 2.10.0-1
libsm 1.2.3-1
libsndfile 1.0.28-1
libsodium 1.0.16-1
libsoup 2.64.2-1
libsoxr 0.1.3-1
libssh 0.8.4-1
libssh2 1.8.0-2
libsystemd 239.2-1
libtasn1 4.13-1
libteam 1.27-2
libthai 0.1.28-1
libtheora 1.1.1-4
libtiff 4.0.9-2
libtirpc 1.1.4-1
libtool 2.4.6+42+gb88cebd5-2
libtorrent-rasterbar 1:1.1.10-1
libunistring 0.9.10-1
libunwind 1.2.1-1
libupnp 1.6.25-1
libusb 1.0.22-1
libutempter 1.1.6-3
libutil-linux 2.32.1-2
libuv 1.23.2-1
libva 2.3.0-1
libvdpau 1.1.1+3+ga21bf7a-1
libvoikko 4.1.1-2
libvorbis 1.3.6-1
libvpx 1.7.0-1
libwacom 0.31-1
libwbclient 4.8.5-1
libwebp 1.0.0-1
libx11 1.6.7-1
libxau 1.0.8-3
libxaw 1.0.13-2
libxcb 1.13.1-1
libxcomposite 0.4.4-3
libxcursor 1.1.15-1
libxdamage 1.1.4-3
libxdg-basedir 1.2.0-4
libxdmcp 1.1.2-2
libxext 1.3.3-2
libxfce4ui 4.12.1-2
libxfce4util 4.13.2-1
libxfixes 5.0.3-2
libxfont2 2.0.3-1
libxft 2.3.2-2
libxi 1.7.9-1
libxinerama 1.1.4-1
libxkbcommon 0.8.2-1
libxkbcommon-x11 0.8.2-1
libxkbfile 1.0.9-2
libxklavier 5.4-2
libxml2 2.9.8-5
libxmu 1.1.2-2
libxnvctrl 410.66-1
libxpm 3.5.12-1
libxrandr 1.5.1-2
libxrender 0.9.10-1
libxshmfence 1.3-1
libxslt 1.1.32+3+g32c88216-1
libxss 1.2.3-1
libxt 1.1.5-2
libxtst 1.2.3-1
libxv 1.0.11-1
libxxf86dga 1.1.4-2
libxxf86vm 1.1.4-2
libyaml 0.2.1-1
licenses 20171006-1
lightdm 1:1.28.0-1
lightdm-gtk-greeter 1:2.0.6-1
linux 4.18.16.arch1-1
linux-api-headers 4.17.11-1
linux-firmware 20181018.d877533-1
linux-headers 4.18.16.arch1-1
llvm-libs 7.0.0-1
lm_sensors 3.4.0+5176+dcf23676-1
lmdb 0.9.22-1
logrotate 3.14.0-1
lua52 5.2.4-3
lvm2 2.02.181-1
lxappearance-gtk3 0.6.3-1
lxappearance-obconf-gtk3 0.2.3-1
lxmenu-data 0.1.5-1
lz4 1:1.8.3-1
lzo 2.10-1
m4 1.4.18-1
make 4.2.1-2
man-db 2.8.4-1
man-pages 4.16-2
mdadm 4.0-1
menu-cache 1.1.0-1
mesa 18.2.3-1
mkinitcpio 25-1
mkinitcpio-busybox 1.29.3-1
mobile-broadband-provider-info 20170310-1
mpc 0.31-1
mpd 0.20.21-1
mpfr 4.0.1-1
mpv 1:0.29.1-2
mtdev 1.1.5-2
nano 3.1-1
ncmpcpp 0.8.2-4
ncurses 6.1-4
ndctl 63-1
neofetch 5.0.0-1
netctl 1.18-1
nettle 3.4-1
network-manager-applet 1.8.18-2
networkmanager 1.14.4-1
nitrogen 1.6.1-2
nm-connection-editor 1.8.18-2
node-gyp 3.8.0-1
nodejs 10.12.0-1
noto-fonts 20180322-1
npm 6.4.1-1
npth 1.6-1
nspr 4.20-1
nss 3.39-1
ntfs-3g 2017.3.23-3
ntp 4.2.8.p12-2
numlockx 1.2-4
nvidia 410.66-3
nvidia-settings 410.66-1
nvidia-utils 410.66-1
obconf 2.0.4-5
obkey 1.0-4
oblogout 0.2-19
obmenu-generator 0.85-1
obmenu3 1.04-1
oniguruma 6.9.0-1
openbox 3.6.1-4
opencore-amr 0.1.5-1
openjpeg2 2.3.0-3
openresolv 3.9.0-1
openssl 1.1.1-1
openssl-1.0 1.0.2.p-1
opus 1.3-1
orc 0.4.28-1
os-prober 1.76-1
p11-kit 0.23.14-1
pacman 5.1.1-1
pacman-contrib 1.1.0-1
pacman-mirrorlist 20180912-1
pacutils 0.6.2-3
pam 1.3.1-1
pambase 20171006-1
pango 1.42.4-1
pangomm 2.40.1-2
parted 3.2-7
patch 2.7.6-3
pavucontrol 1:3.0+23+g335c26c-1
pciutils 3.6.1-1
pcmanfm-gtk3 1.3.0-1
pcre 8.42-1
pcre2 10.32-1
perl 5.28.0-1
perl-data-dump 1.23-4
perl-encode-locale 1.05-4
perl-error 0.17026-2
perl-file-listing 6.04-5
perl-html-parser 3.72-6
perl-html-tagset 3.20-7
perl-http-cookies 6.04-3
perl-http-daemon 6.01-6
perl-http-date 6.02-5
perl-http-message 6.18-2
perl-http-negotiate 6.01-5
perl-io-html 1.001-4
perl-io-socket-ssl 2.056-2
perl-json 2.97001-1
perl-libwww 6.33-2
perl-linux-desktopfiles 0.25-1
perl-locale-gettext 1.07-6
perl-log-message 0.08-4
perl-log-message-simple 0.10-4
perl-lwp-mediatypes 6.02-5
perl-lwp-protocol-https 6.07-2
perl-mailtools 2.20-2
perl-net-http 6.18-2
perl-net-ssleay 1.85-2
perl-term-readline-gnu 1.35-5
perl-term-ui 0.46-4
perl-timedate 2.30-5
perl-try-tiny 0.30-2
perl-uri 1.74-2
perl-www-robotrules 6.02-5
pinentry 1.1.0-4
pixman 0.34.0-1
pkgconf 1.5.3-1
polkit 0.115+3+g8638ec5-1
polybar-git 3.2.0.r56.g152125dc-1
popt 1.16-9
powerline-common 2.7-2
powerline-fonts 2.7-2
procps-ng 3.3.15-1
psmisc 23.2-1
pulseaudio 12.2-2
pulseaudio-alsa 2-4
pulsemixer 1.4.0-3
pygobject2-devel 2.28.7-2
pygtk 2.24.0-8
python 3.7.1-1
python-appdirs 1.4.3-2
python-asn1crypto 0.24.0-2
python-cachecontrol 0.12.5-4
python-cffi 1.11.5-2
python-chardet 3.0.4-2
python-colorama 0.4.0-1
python-cryptography 2.3.1-1
python-dbus-common 1.2.8-2
python-discogs-client 2.2.1-3
python-distlib 0.2.8-1
python-distro 1.3.0-2
python-html5lib 1.0.1-3
python-idna 2.7-3
python-jellyfish 0.6.1-2
python-lockfile 0.12.2-3
python-msgpack 0.5.6-2
python-munkres 1.0.12-2
python-musicbrainzngs 0.6-3
python-mutagen 1.41.1-1
python-oauthlib 2.1.0-2
python-packaging 18.0-1
python-pip 18.0-1
python-ply 3.11-2
python-progress 1.4-2
python-pycparser 2.19-1
python-pylast 2.4.0-1
python-pyparsing 2.2.2-1
python-pytoml 0.1.19-1
python-pywal 3.1.0-2
python-requests 2.20.0-1
python-retrying 1.3.3-4
python-setuptools 1:40.4.3-1
python-six 1.11.0-3
python-unidecode 1.0.22-2
python-urllib3 1.24-1
python-webencodings 0.5.1-2
python-yaml 3.13-2
python2 2.7.15-2
python2-cairo 1.17.0-2
python2-dbus 1.2.8-2
python2-gobject2 2.28.7-2
python2-pillow 5.3.0-1
qbittorrent-nox 4.1.3-2
qt5-base 5.11.2-1
ranger 1.9.1-3
readline 7.0.005-1
reflector 2018-2
reiserfsprogs 3.6.27-1
rest 0.8.1-1
rhash 1.3.6-1
rofi 1.5.1-1
rsync 3.1.3-1
rtkit 0.11+8+ge0a51fe-1
rtmpdump 1:2.4.r96.fa8646d-3
rubberband 1.8.2-1
rxvt-unicode 9.22-7
rxvt-unicode-terminfo 9.22-7
s-nail 14.9.11-1
scrot 0.8.18-1
sdl2 2.0.8-10
sed 4.5-1
semver 5.6.0-1
shadow 4.6-1
shared-mime-info 1.10-1
sharutils 4.15.2-3
slang 2.3.2-1
smbclient 4.8.5-1
sound-theme-freedesktop 0.8-3
speex 1.2.0-1
speexdsp 1.2rc3-3
spotify 1.0.89.313-1
sqlite 3.25.2-1
startup-notification 0.12-5
sublime-text 3176-1
sudo 1.8.25.p1-1
sysfsutils 2.1.0-10
systemd 239.2-1
systemd-sysvcompat 239.2-1
taglib 1.11.1-1
talloc 2.1.14-1
tar 1.30-1
tdb 1.3.16-1
termite 13-3
termite-terminfo 13-3
tevent 1:0.9.37-1
texinfo 6.5-2
thin-provisioning-tools 0.7.6-1
thunar 1.8.2-1
thunar-volman 0.8.1-2
trizen 1:1.55-1
tslib 1.17-1
ttf-dejavu 2.37-2
ttf-fira-code 1.206-1
ttf-font-awesome-4 4.7.0-5
ttf-mononoki 1.2-1
tzdata 2018f-2
uchardet 0.0.6-1
udisks2 2.8.1-1
unace 2.5-10
unrar 1:5.6.8-1
unzip 6.0-12
usbutils 010-1
util-linux 2.32.1-2
uudeview 0.5.20-13
v4l-utils 1.16.0-1
vamp-plugin-sdk 2.7.1-2
vi 1:070224-3
vid.stab 1.1-2
vim 8.1.0470-1
vim-runtime 8.1.0470-1
vivaldi 2.0.1309.42-1
vivaldi-ffmpeg-codecs 69.0.3497.100-1
vivaldi-widevine 1:4.10.1192.0-2
volume_key 0.3.11-2
vte-common 0.54.2-1
vulkan-icd-loader 1.1.85+2969+5abee6173-1
w3m 0.5.3.git20180125-1
wavpack 5.1.0-2
wayland 1.16.0-1
wayland-protocols 1.16-1
webkit2gtk 2.22.2-1
webrtc-audio-processing 0.3.1-1
wget 1.19.5-1
which 2.21-2
wireless_tools 30.pre9-2
woff2 1.0.2-1
